Country,Gdp_per_cap
Albania,83040249899.76929
Algeria,966169293422.6036
Andorra,3007061862.7833853
Angola,2.019356901856637e+19
Antigua and Barbuda,847775471.0581948
Argentina,715832365010.9211
Armenia,119292254116781.64
Aruba,1682407436.2296362
Australia,741324681550.3033
Austria,261738322346.58188
Azerbaijan,255114241938400.78
Bahrain,10322928053.071152
Bangladesh,142056306493.862
Barbados,3814421647.0768466
Belarus,2.7849037949727283e+18
Belgium,318763517977.5848
Belize,755665605.8878235
Benin,8739832281.170778
Bermuda,6179034896.46032
Bhutan,1687135504.9825852
Botswana,31545697281.729465
Brazil,7.411202856335296e+16
Brunei Darussalam,7996339624.194347
Bulgaria,31094890205396.504
Burkina Faso,7506791226.627389
Burundi,7839973600.329074
Cabo Verde,507929262.6052148
Cameroon,37961748507.904076
Canada,961953309755.1262
Central African Republic,2204720631.1210613
Chad,4975791621.182568
Chile,180877155606.2576
China,1339068955810.227
Colombia,777513504969.4592
Comoros,881958863.2771993
Costa Rica,147275510939.37366
Cuba,43874138642.98386
Cyprus,12814334273.881594
Czechia,164612568690.72885
Denmark,219226203477.25616
Dominica,284696296.8197698
Dominican Republic,92815815187.5896
Ecuador,30874092000.0
El Salvador,12516000000.0
Equatorial Guinea,488929676.9732169
Eswatini,7859145389.595926
Ethiopia,130471710535.43217
Fiji,3648343277.3338094
Finland,217919941951.86844
France,1804726018598.1438
French Polynesia,5449414832.481442
Gabon,11386028033.2082
Georgia,2.287114355972372e+16
Germany,2552923951573.7217
Ghana,2397133047536.284
Greece,306727654546.3001
Greenland,1507157356.7842994
Grenada,351828716.93634874
Guatemala,35225599576.60153
Guinea,43729644299.97446
Guinea-Bissau,19818192542.51224
Guyana,14805648176.843857
Haiti,105852294080.20413
Honduras,14026275842.836761
India,1435989047856.2764
Indonesia,1931929495923.255
Iraq,29143765860597.15
Ireland,95256380636.56697
Italy,2268729459811.164
Jamaica,103848739072.14934
Japan,2882413832390.0684
Jordan,12533139377.95632
Kazakhstan,2136410696768063.2
Kenya,223367085937.75052
Kiribati,73284155.89090909
Lebanon,18995815432.185936
Lesotho,3388378085.200239
Luxembourg,27430767043.205715
Madagascar,33097588493.998466
Malawi,951370794697.6211
Malaysia,107752655162.45953
Mali,5312687187.886448
Malta,4521300492.7258005
Marshall Islands,140569788.24061972
Mauritania,18030809712.070843
Mauritius,10377389785.286974
Mexico,5121987397698.727
Monaco,3379112001.1059203
Mongolia,1030092909184.0994
Morocco,48029436130.23054
Myanmar,335911376613.1811
Namibia,19450928110.154324
Nepal,23064080602.360405
Netherlands,506767431190.97595
New Zealand,75160180956.50581
Nicaragua,1590346773745.571
Niger,8569939286.678116
Nigeria,2697118170885.288
North Macedonia,1678790186698.5522
Norway,273339939002.02838
Oman,31601248457.828514
Pakistan,682480910484.4423
Panama,13202058604.961426
Papua New Guinea,31643432573.219536
Paraguay,70717210770.86665
Peru,806898973545.7566
Philippines,215529470004.64264
Poland,773780850156.0074
Portugal,184399462420.08362
Puerto Rico,6710833489.250406
Romania,116458693100930.12
Russian Federation,6.4859223323561016e+16
Rwanda,25331870390.284916
Samoa,397460098.7559794
Saudi Arabia,292742848913.9483
Senegal,17851660851.62918
Seychelles,1746453300.3580875
Sierra Leone,42445882311.04105
Singapore,53789741798.29904
Solomon Islands,1654294345.3689706
South Africa,846995878906.0703
Spain,1085663797452.3756
Sri Lanka,90069448783.32208
St. Vincent and the Grenadines,424936169.8817946
Suriname,1766321050644.3726
Sweden,421906412125.29144
Switzerland,326243738729.59705
Syrian Arab Republic,21231963747.249546
Tajikistan,182699512337539.97
Thailand,138459140873.05762
Togo,7830416738.867516
Tonga,608246860.2001235
Trinidad and Tobago,13076792763.858173
Tunisia,43160163315.320946
Turkmenistan,1.813743079015042e+16
Tuvalu,26194543.619347356
Uganda,63237113586.49964
Ukraine,2.312007259929458e+17
United Arab Emirates,132030888405.38196
United Kingdom,2048205151240.9995
United States,9805882069680.021
Uruguay,648678469021.4607
Uzbekistan,2.268536101030042e+16
Vanuatu,274206016.1114371
Viet Nam,107391847055.80872
Zambia,1347276312264.9163
Zimbabwe,264843186457.22528
