Country,Growth
Algeria,-31293979380.42309
Andorra,11091203.667587433
Argentina,-5.027151291195259e+19
Australia,22924185756.81544
Austria,7956568630.112932
Bangladesh,-34946772.04237734
Belgium,8148835360.245162
Belize,45989126.32021915
Benin,161703813.74358642
Bermuda,37907918.81008435
Botswana,79494561.90131022
Brazil,-6.179788301799124e+21
Burkina Faso,204323107.69117492
Burundi,-225548128.89270657
Cameroon,109200119.6039883
Canada,24906981318.66213
Central African Republic,-37364374.14943614
Chad,215621932.3624407
Chile,-16195442629632.422
China,231160504641.65015
Colombia,-193829811317.75305
Costa Rica,-21173933384.97965
Cuba,525212687.0911247
Denmark,4879227011.067885
Dominican Republic,-10235229649.126127
Ecuador,1181455356.557559
El Salvador,309205796.0116279
Eswatini,-191937000.062883
Fiji,756156.1418082693
Finland,3617594282.289012
France,36359042633.197685
French Polynesia,36225466.06921958
Gabon,-73571190.51847579
Germany,64944336317.77895
Ghana,-5885898277122.131
Greece,-19113897099.641903
Greenland,35869827.49984365
Guatemala,-1506559544.9533432
Guinea-Bissau,-23836798477.699062
Guyana,-7945432494.226038
Haiti,-2660103451.3329296
Honduras,-450972097.9266565
India,5218574606.789391
Indonesia,-60396655032.835976
Iraq,-1234548233451.718
Ireland,6707022740.590452
Italy,-5336213469.434896
Jamaica,-15790641352.69691
Japan,110711598597.67365
Kenya,-6893380352.1729765
Kiribati,-723089.565378288
Lesotho,-102851383.62143207
Luxembourg,1401686007.2969935
Madagascar,-3976998939.741416
Malaysia,6530212032.062321
Mali,119499039.05409612
Malta,270202954.6994144
Mauritania,-461064852.47983015
Mexico,-12848013886256.385
Monaco,103231070.20474552
Morocco,1579144218.2519374
Myanmar,-28528481249.41541
Nepal,-431014268.7926953
Netherlands,15974049760.996265
Nicaragua,-1.9865552106299233e+18
Niger,11521262.66436794
Nigeria,-1597207630372.8032
Norway,6284873196.891896
Oman,1795631419.564043
Pakistan,-13119875488.306004
Panama,1150547735.5335338
Papua New Guinea,-495211383.451997
Paraguay,-8035708004.455951
Peru,-4.0921271215835304e+16
Philippines,-3918309146.140011
Portugal,-4755387456.6146345
Puerto Rico,160434722.24998903
Rwanda,-282255320.1632602
Saudi Arabia,9595338660.430857
Senegal,189781558.3067575
Seychelles,17690950.971996713
Sierra Leone,-108364235260.63768
Singapore,7350476116.852433
South Africa,-39344603328.43514
Spain,9183179595.581247
Sri Lanka,-3538480024.127701
St. Vincent and the Grenadines,14432528.17290593
Suriname,-159361069511.76306
Sweden,3916319294.3804793
Syrian Arab Republic,-1874906457.863142
Thailand,5672732912.812955
Togo,7263184.373424026
Trinidad and Tobago,42617970.94732363
Tunisia,38944001.84644284
United Kingdom,30736038967.419594
United States,310394307014.4043
Uruguay,-17264476482408.01
Zambia,-1151954668188.5623
Zimbabwe,-55533934.73746708
