Country,R_squared
Albania,0.045823074038568834
Algeria,0.24068057707117116
Andorra,0.10488539964563126
Angola,0.18989682897085475
Antigua and Barbuda,0.6017042999667594
Argentina,0.8092986255983046
Armenia,0.17108361332666805
Aruba,0.6044144878999419
Australia,0.802085297593713
Austria,0.6401563251502708
Azerbaijan,0.17338216012027954
Bahrain,0.9667247667961133
Bangladesh,0.8071529109388821
Barbados,0.43880294427244276
Belarus,0.16817493526683736
Belgium,0.6691926380693738
Belize,0.9443828426696537
Benin,0.6632829169778719
Bermuda,0.1020447343586128
Bhutan,0.7087606386060212
Botswana,0.7046059158399626
Brazil,0.12476229016402321
Brunei Darussalam,0.7019818750577081
Bulgaria,0.15192568326285694
Burkina Faso,0.7417668797489607
Burundi,0.5867545043541986
Cabo Verde,0.8164910722722604
Cameroon,0.30469809021798294
Canada,0.7535223106392122
Central African Republic,0.03626209436319778
Chad,0.7940253840390324
Chile,0.5709580442143667
China,0.903613739526955
Colombia,0.35273565434561327
Comoros,0.35226496521265077
Costa Rica,0.28448008021476495
Cuba,0.3353575819831034
Cyprus,0.7059241622938347
Czechia,0.6988023517308344
Denmark,0.6684395567861068
Dominica,0.8121090813675291
Dominican Republic,0.259649641872619
Ecuador,0.9441110954655088
El Salvador,0.9786164498747296
Equatorial Guinea,0.6026835013670041
Eswatini,0.6254235464015426
Ethiopia,0.035596058052038484
Fiji,0.36456607020088666
Finland,0.5426281380616742
France,0.6100751479282466
French Polynesia,0.01360654651277904
Gabon,0.00026513887059840776
Georgia,0.16503081639833916
Germany,0.5923706566924732
Ghana,0.5721868582725955
Greece,0.010580348924073975
Greenland,0.705466544973759
Grenada,0.9036526277079686
Guatemala,0.8913995657494326
Guinea,0.8496579442580152
Guinea-Bissau,0.34060184264115334
Guyana,0.1237044942651968
Haiti,0.6142503535328206
Honduras,0.052158211154834946
India,0.7868989677928458
Indonesia,0.4220037369402102
Iraq,0.13660180795055318
Ireland,0.9144213925694971
Italy,0.02669890124299356
Jamaica,0.48987381347133585
Japan,0.48331649066491045
Jordan,0.9789385090938544
Kazakhstan,0.164392491264546
Kenya,0.2340777301130448
Kiribati,0.5230361712084505
Lebanon,0.38965324937330864
Lesotho,0.5167590891960395
Luxembourg,0.8541243964163496
Madagascar,0.5885410067054772
Malawi,0.4963759284775283
Malaysia,0.8611926718280933
Mali,0.6581402198224275
Malta,0.9425804159666702
Marshall Islands,0.6611089426314882
Mauritania,0.31773699057468563
Mauritius,0.4185128577029129
Mexico,0.5682380639968784
Monaco,0.8351874982185271
Mongolia,0.19857770615361856
Morocco,0.8943126379207145
Myanmar,0.4595003435182612
Namibia,0.3596619424904786
Nepal,0.16707878958939842
Netherlands,0.6860983599357369
New Zealand,0.8898244867419042
Nicaragua,0.10071445029947804
Niger,0.5342451485967764
Nigeria,0.3183829626255311
North Macedonia,0.16629810479886845
Norway,0.3936593719954665
Oman,0.9696770614009924
Pakistan,0.6224361522427092
Panama,0.9222718243938215
Papua New Guinea,0.34497278364814354
Paraguay,0.361236086702462
Peru,0.012656234397469436
Philippines,0.5985962666936429
Poland,0.11907430351189575
Portugal,0.3408718774781212
Puerto Rico,0.3156715695628926
Romania,0.15289036537449768
Russian Federation,0.15981109264272395
Rwanda,0.04250480379075966
Samoa,0.8481980411725668
Saudi Arabia,0.9370898664858218
Senegal,0.4538252352269436
Seychelles,0.4800214050498587
Sierra Leone,0.3534797235661578
Singapore,0.9323147386952815
Solomon Islands,0.10075291148001021
South Africa,0.6158425891802021
Spain,0.4334748752873462
Sri Lanka,0.38731824561444284
St. Vincent and the Grenadines,0.9386457736911129
Suriname,0.31490657227825614
Sweden,0.5619136024823546
Switzerland,0.8911214667676406
Syrian Arab Republic,0.3740035563534117
Tajikistan,0.17046303043597197
Thailand,0.7478990923929404
Togo,0.1133261119508849
Tonga,0.28748792711730603
Trinidad and Tobago,0.6865754923047837
Tunisia,0.019601665611563433
Turkmenistan,0.1618792695804051
Tuvalu,0.7589822219414598
Uganda,0.005029517472102674
Ukraine,0.16418983705162757
United Arab Emirates,0.9796848048694949
United Kingdom,0.408816102537014
United States,0.9858800522071655
Uruguay,0.437713948600577
Uzbekistan,0.17690350621006268
Vanuatu,0.8155935019569677
Viet Nam,0.8963793634908865
Zambia,0.21781788949152625
Zimbabwe,0.644088758172033
