Country,R_squared
Algeria,0.6051842309542355
Andorra,0.07290315535910388
Argentina,0.24123497439538444
Australia,0.6605553964052958
Austria,0.8967060657461507
Bangladesh,4.294665409337105e-05
Belgium,0.8518772321986622
Belize,0.9691404464859782
Benin,0.6413238595488194
Bermuda,0.5499713910019093
Botswana,0.043466561148788524
Brazil,0.48582204139294966
Burkina Faso,0.6789218551656473
Burundi,0.7906100728579085
Cameroon,0.03362935820064347
Canada,0.8316427816528912
Central African Republic,0.5238557901632237
Chad,0.7072620203939685
Chile,0.17687079209058962
China,0.7119938852850488
Colombia,0.7007419823600631
Costa Rica,0.602133103990914
Cuba,0.4467281877699209
Denmark,0.8304340985502852
Dominican Republic,0.5944246881002252
Ecuador,0.9526529297482393
El Salvador,0.9392809083588132
Eswatini,0.7356504387359021
Fiji,0.0002903767872131653
Finland,0.7652521112743795
France,0.7745732752850967
French Polynesia,0.3393553396209581
Gabon,0.13122372447568575
Germany,0.8842794029189287
Ghana,0.39840572916243555
Greece,0.6224117867848313
Greenland,0.8103638937134786
Guatemala,0.3550007790114703
Guinea-Bissau,0.6516287619949187
Guyana,0.7144969213536438
Haiti,0.7524375358701078
Honduras,0.6423142066634357
India,0.05431425070767329
Indonesia,0.7633989567392907
Iraq,0.6540321001330963
Ireland,0.8338487334325245
Italy,0.046657526203026885
Jamaica,0.6506153637851702
Japan,0.8678461536748215
Kenya,0.7262947632356063
Kiribati,0.04310891401782259
Lesotho,0.6970227868044786
Luxembourg,0.9128752925444295
Madagascar,0.6893531231404992
Malaysia,0.929654401955539
Mali,0.6814543140578257
Malta,0.936436113707135
Mauritania,0.7130417469231786
Mexico,0.5890153004863378
Monaco,0.8188467963014113
Morocco,0.6632763256730704
Myanmar,0.7842356528871508
Nepal,0.6234324190326002
Netherlands,0.8983574593578211
Nicaragua,0.6026033637227942
Niger,0.0035369765426295882
Nigeria,0.5524683562342426
Norway,0.7543657674584806
Oman,0.9850340504724097
Pakistan,0.7441128088206223
Panama,0.8458561647032202
Papua New Guinea,0.51754280550583
Paraguay,0.556857475670196
Peru,0.46478793969061416
Philippines,0.20726721167314557
Portugal,0.3150847776739045
Puerto Rico,0.8285906128484499
Rwanda,0.3403475892410483
Saudi Arabia,0.8109059774546973
Senegal,0.4061112559210224
Seychelles,0.18726320363543292
Sierra Leone,0.6578090093633526
Singapore,0.8856888606001859
South Africa,0.7718849424138016
Spain,0.27122588394110375
Sri Lanka,0.6365272885153679
St. Vincent and the Grenadines,0.9221425204669702
Suriname,0.7207341765743109
Sweden,0.39419076543486564
Syrian Arab Republic,0.5620700242396542
Thailand,0.889306741880241
Togo,0.00597116295102184
Trinidad and Tobago,0.011337610604965336
Tunisia,0.004430387374389705
United Kingdom,0.6509572671653954
United States,0.9879235798370665
Uruguay,0.24366310478431624
Zambia,0.6525243326129951
Zimbabwe,0.00012082840717596038
